sheet,panel,shot_id,title,location,characters,dialogue,action,camera,prompt_base_ru,prompt_base_en,negative_prompt
1,1,S01A,Экспозиция: страна тортов над полями и облаками. (часть 1/2),Страна тортов (общий вид),"VoiceOver, Crowd","VoiceOver: Над золочеными полями, над голубыми небесами, Средь",Камера парит над золочеными полями; жители Страны Тортов движутся небольшими группами по дорожкам.,"На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.","Кадр S01A. Локация: Страна тортов (общий вид). Персонажи: VoiceOver, Crowd. Сцена: Экспозиция: страна тортов над полями и облаками. (часть 1/2). Действие: Камера парит над золочеными полями; жители Страны Тортов движутся небольшими группами по дорожкам.. Камера: На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.. Реплика: VoiceOver: Над золочеными полями, над голубыми небесами, Средь.","Shot S01A. Location: Страна тортов (общий вид). Characters: VoiceOver, Crowd. Scene: Экспозиция: страна тортов над полями и облаками. (часть 1/2). Action: Камера парит над золочеными полями; жители Страны Тортов движутся небольшими группами по дорожкам.. Camera: На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.. Dialogue: VoiceOver: Над золочеными полями, над голубыми небесами, Средь.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
1,2,S01B,Экспозиция: страна тортов над полями и облаками. (часть 2/2),Страна тортов (общий вид),"VoiceOver, Crowd","птичьих стай и облаков, находятся страна тортов.",Камера парит над золочеными полями; жители Страны Тортов движутся небольшими группами по дорожкам.,"На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.","Кадр S01B. Локация: Страна тортов (общий вид). Персонажи: VoiceOver, Crowd. Сцена: Экспозиция: страна тортов над полями и облаками. (часть 2/2). Действие: Камера парит над золочеными полями; жители Страны Тортов движутся небольшими группами по дорожкам.. Камера: На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.. Реплика: птичьих стай и облаков, находятся страна тортов..","Shot S01B. Location: Страна тортов (общий вид). Characters: VoiceOver, Crowd. Scene: Экспозиция: страна тортов над полями и облаками. (часть 2/2). Action: Камера парит над золочеными полями; жители Страны Тортов движутся небольшими группами по дорожкам.. Camera: На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.. Dialogue: птичьих стай и облаков, находятся страна тортов..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
1,3,S02A,Представление правителя и двора. (часть 1/2),Тронный зал,"Napoleon, Vatrushki","VoiceOver: А царством этим правит он, царь всем тортом Наполеон.","Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.","Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.","Кадр S02A. Локация: Тронный зал. Персонажи: Napoleon, Vatrushki. Сцена: Представление правителя и двора. (часть 1/2). Действие: Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.. Камера: Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.. Реплика: VoiceOver: А царством этим правит он, царь всем тортом Наполеон..","Shot S02A. Location: Тронный зал. Characters: Napoleon, Vatrushki. Scene: Представление правителя и двора. (часть 1/2). Action: Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.. Camera: Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.. Dialogue: VoiceOver: А царством этим правит он, царь всем тортом Наполеон..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
1,4,S02B,Представление правителя и двора. (часть 2/2),Тронный зал,"Napoleon, Vatrushki","Вокруг него снуют ватрушки, любимые его подружки.","Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.","Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.","Кадр S02B. Локация: Тронный зал. Персонажи: Napoleon, Vatrushki. Сцена: Представление правителя и двора. (часть 2/2). Действие: Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.. Камера: Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.. Реплика: Вокруг него снуют ватрушки, любимые его подружки..","Shot S02B. Location: Тронный зал. Characters: Napoleon, Vatrushki. Scene: Представление правителя и двора. (часть 2/2). Action: Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.. Camera: Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.. Dialogue: Вокруг него снуют ватрушки, любимые его подружки..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
1,5,S03A,Свита развлекает царя. (часть 1/2),Тронный зал,"Donut, Cookie, Eclair, Napoleon","VoiceOver: Вот рядом пончик и печенья поют ему для развлечения, и граф Эклер, его советник.","Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.","На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.","Кадр S03A. Локация: Тронный зал. Персонажи: Donut, Cookie, Eclair, Napoleon. Сцена: Свита развлекает царя. (часть 1/2). Действие: Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.. Камера: На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.. Реплика: VoiceOver: Вот рядом пончик и печенья поют ему для развлечения, и граф Эклер, его советник..","Shot S03A. Location: Тронный зал. Characters: Donut, Cookie, Eclair, Napoleon. Scene: Свита развлекает царя. (часть 1/2). Action: Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.. Camera: На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.. Dialogue: VoiceOver: Вот рядом пончик и печенья поют ему для развлечения, и граф Эклер, его советник..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
1,6,S03B,Свита развлекает царя. (часть 2/2),Тронный зал,"Donut, Cookie, Eclair, Napoleon",Он лучший друг и лучший сплетник.,"Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.","На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.","Кадр S03B. Локация: Тронный зал. Персонажи: Donut, Cookie, Eclair, Napoleon. Сцена: Свита развлекает царя. (часть 2/2). Действие: Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.. Камера: На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.. Реплика: Он лучший друг и лучший сплетник..","Shot S03B. Location: Тронный зал. Characters: Donut, Cookie, Eclair, Napoleon. Scene: Свита развлекает царя. (часть 2/2). Action: Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.. Camera: На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.. Dialogue: Он лучший друг и лучший сплетник..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
1,7,S04A,Военная вертикаль при троне. (часть 1/2),Тронный зал,"General, Gurts, Napoleon","VoiceOver: Паодль, генерал жиле, всё время он на стороже.","General шагом обходит линию Gurts с саблями, проверяет стойки и жестами выравнивает строй рядом с Napoleon.","Передний план занимают сабли/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.","Кадр S04A. Локация: Тронный зал. Персонажи: General, Gurts, Napoleon. Сцена: Военная вертикаль при троне. (часть 1/2). Действие: General шагом обходит линию Gurts с саблями, проверяет стойки и жестами выравнивает строй рядом с Napoleon.. Камера: Передний план занимают сабли/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.. Реплика: VoiceOver: Паодль, генерал жиле, всё время он на стороже..","Shot S04A. Location: Тронный зал. Characters: General, Gurts, Napoleon. Scene: Военная вертикаль при троне. (часть 1/2). Action: General шагом обходит линию Gurts с саблями, проверяет стойки и жестами выравнивает строй рядом с Napoleon.. Camera: Передний план занимают сабли/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.. Dialogue: VoiceOver: Паодль, генерал жиле, всё время он на стороже..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
1,8,S04B,Военная вертикаль при троне. (часть 2/2),Тронный зал,"General, Gurts, Napoleon",Царя охрану возглавляет или единцами управляет.,"General шагом обходит линию Gurts с саблями, проверяет стойки и жестами выравнивает строй рядом с Napoleon.","Передний план занимают сабли/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.","Кадр S04B. Локация: Тронный зал. Персонажи: General, Gurts, Napoleon. Сцена: Военная вертикаль при троне. (часть 2/2). Действие: General шагом обходит линию Gurts с саблями, проверяет стойки и жестами выравнивает строй рядом с Napoleon.. Камера: Передний план занимают сабли/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.. Реплика: Царя охрану возглавляет или единцами управляет..","Shot S04B. Location: Тронный зал. Characters: General, Gurts, Napoleon. Scene: Военная вертикаль при троне. (часть 2/2). Action: General шагом обходит линию Gurts с саблями, проверяет стойки и жестами выравнивает строй рядом с Napoleon.. Camera: Передний план занимают сабли/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.. Dialogue: Царя охрану возглавляет или единцами управляет..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
2,1,S05A,Казначей в придворной иерархии. (часть 1/2),Кабинет Блина при дворце,Blin,"VoiceOver: Блинка значей, развесил уши. Он по характеру капуша.","Blin перебирает свитки и пересчитывает записи на счетах, останавливается, вздыхает и снова возвращается к спискам.","На переднем плане стол с реестрами и счетами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.","Кадр S05A. Локация: Кабинет Блина при дворце. Персонажи: Blin. Сцена: Казначей в придворной иерархии. (часть 1/2). Действие: Blin перебирает свитки и пересчитывает записи на счетах, останавливается, вздыхает и снова возвращается к спискам.. Камера: На переднем плане стол с реестрами и счетами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.. Реплика: VoiceOver: Блинка значей, развесил уши. Он по характеру капуша..","Shot S05A. Location: Кабинет Блина при дворце. Characters: Blin. Scene: Казначей в придворной иерархии. (часть 1/2). Action: Blin перебирает свитки и пересчитывает записи на счетах, останавливается, вздыхает и снова возвращается к спискам.. Camera: На переднем плане стол с реестрами и счетами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.. Dialogue: VoiceOver: Блинка значей, развесил уши. Он по характеру капуша..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
2,2,S05B,Казначей в придворной иерархии. (часть 2/2),Кабинет Блина при дворце,Blin,"Как денег нет, так сразу нужен, а так работаю загружен.","Blin перебирает свитки и пересчитывает записи на счетах, останавливается, вздыхает и снова возвращается к спискам.","На переднем плане стол с реестрами и счетами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.","Кадр S05B. Локация: Кабинет Блина при дворце. Персонажи: Blin. Сцена: Казначей в придворной иерархии. (часть 2/2). Действие: Blin перебирает свитки и пересчитывает записи на счетах, останавливается, вздыхает и снова возвращается к спискам.. Камера: На переднем плане стол с реестрами и счетами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.. Реплика: Как денег нет, так сразу нужен, а так работаю загружен..","Shot S05B. Location: Кабинет Блина при дворце. Characters: Blin. Scene: Казначей в придворной иерархии. (часть 2/2). Action: Blin перебирает свитки и пересчитывает записи на счетах, останавливается, вздыхает и снова возвращается к спискам.. Camera: На переднем плане стол с реестрами и счетами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.. Dialogue: Как денег нет, так сразу нужен, а так работаю загружен..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
