shot_id;prompt_ru;prompt_en
S01A;"Шот S01A. Локация: Страна тортов (общий вид). Персонажи: Голос за кадром, Стая / Массовка. Мизансцена: Экспозиция: страна тортов над полями и облаками. (часть 1/2). Действие: Камера парит над сахарными полями; Crowd движется маленькими группами по дорожкам, флажки и ленты мягко колышутся от ветра.. Камера: На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.. Реплика: VoiceOver: Над золочеными полями, над голубыми небесами, Средь. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S01A. Location: Country of cakes (general view). Characters: Voice-over, Crowd. Scene: Exposition: the land of cakes over fields and clouds. (part 1/2). Action: The camera hovers over sugar fields; Crowd moves in small groups along the paths, flags and ribbons gently swaying in the wind.. Camera: Clouds and caramel crowns fly by in the foreground, the city reveals itself in the middle ground, and hills and dawn in the background; wide air span.. Dialogue: VoiceOver: Over gilded fields, over blue skies, Among. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S01B;"Шот S01B. Локация: Страна тортов (общий вид). Персонажи: Голос за кадром, Стая / Массовка. Мизансцена: Экспозиция: страна тортов над полями и облаками. (часть 2/2). Действие: Камера парит над сахарными полями; Crowd движется маленькими группами по дорожкам, флажки и ленты мягко колышутся от ветра.. Камера: На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.. Реплика: птичьих стай и облаков, находятся страна тортов.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S01B. Location: Country of cakes (general view). Characters: Voice-over, Crowd. Scene: Exposition: the land of cakes over fields and clouds. (part 2/2). Action: The camera hovers over sugar fields; Crowd moves in small groups along the paths, flags and ribbons gently swaying in the wind.. Camera: Clouds and caramel crowns fly by in the foreground, the city reveals itself in the middle ground, and hills and dawn in the background; wide air span.. Dialogue: flocks of birds and clouds, is the land of cakes.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S02A;"Шот S02A. Локация: Тронный зал. Персонажи: Наполеон, Ватрушки. Мизансцена: Представление правителя и двора. (часть 1/2). Действие: Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.. Камера: Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.. Реплика: VoiceOver: Отцарством этим правит он, царь всем тортом Наполеон.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S02A. Location: Throne room. Characters: Napoleon, Vatrushki. Scene: Representation of the ruler and court. (part 1/2). Action: Napoleon motionlessly holds the center of the composition, Vatrushki circles around the throne with small steps and bows, creating the ritual rhythm of the court.. Camera: The foreground is occupied by details of the throne and columns, in the middle ground is Napoleon and his retinue, in the background is the depth of the hall; wide shot with a smooth zoom in to medium.. Dialogue: VoiceOver: He rules this kingdom, the king of all cakes, Napoleon.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S02B;"Шот S02B. Локация: Тронный зал. Персонажи: Наполеон, Ватрушки. Мизансцена: Представление правителя и двора. (часть 2/2). Действие: Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.. Камера: Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.. Реплика: Вокруг него снуют в отружке, любимые его подружки.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S02B. Location: Throne room. Characters: Napoleon, Vatrushki. Scene: Representation of the ruler and court. (part 2/2). Action: Napoleon motionlessly holds the center of the composition, Vatrushki circles around the throne with small steps and bows, creating the ritual rhythm of the court.. Camera: The foreground is occupied by details of the throne and columns, in the middle ground is Napoleon and his retinue, in the background is the depth of the hall; wide shot with a smooth zoom in to medium.. Dialogue: His beloved girlfriends are scurrying around him.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S03A;"Шот S03A. Локация: Тронный зал. Персонажи: Пончик, Печенье, Эклер, Наполеон. Мизансцена: Свита развлекает царя. (часть 1/2). Действие: Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.. Камера: На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.. Реплика: VoiceOver: Вот рядом пончик и печенья поют ему для развлечения, Играф Экклер, его советник.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S03A. Location: Throne room. Characters: Donut, Cookie, Eclair, Napoleon. Scene: The retinue entertains the king. (part 1/2). Action: Donut and Cookie perform in sync, Eclair prompts over his shoulder, Napoleon watches without a smile and barely nods to the beat.. Camera: In the foreground is a microphone/stage decor, in the middle is Donut and Cookie, in the background is Eclair and the Napoleon throne; stable middle with a light side pan.. Dialogue: VoiceOver: Here is a donut and cookies singing to him for entertainment, Igraf Ekler, his advisor.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S03B;"Шот S03B. Локация: Тронный зал. Персонажи: Пончик, Печенье, Эклер, Наполеон. Мизансцена: Свита развлекает царя. (часть 2/2). Действие: Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.. Камера: На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.. Реплика: Он лучший друг и лучший сплетник.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S03B. Location: Throne room. Characters: Donut, Cookie, Eclair, Napoleon. Scene: The retinue entertains the king. (part 2/2). Action: Donut and Cookie perform in sync, Eclair prompts over his shoulder, Napoleon watches without a smile and barely nods to the beat.. Camera: In the foreground is a microphone/stage decor, in the middle is Donut and Cookie, in the background is Eclair and the Napoleon throne; stable middle with a light side pan.. Dialogue: He is the best friend and the best gossip.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S04A;"Шот S04A. Локация: Тронный зал. Персонажи: Желе, Леденец / Стража, Наполеон. Мизансцена: Военная вертикаль при троне. (часть 1/2). Действие: General шагом обходит линию Gurts, проверяет стойки и жёсткими жестами выравнивает строй рядом с Napoleon.. Камера: Передний план занимают копья/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.. Реплика: VoiceOver: Паодль, генерал жиле, всё время он на стороже.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S04A. Location: Throne room. Characters: General Jelly, Candy Guard, Napoleon. Scene: Military vertical under the throne. (part 1/2). Action: The General walks around the Gurts line, checks the racks and, with harsh gestures, aligns the formation next to Napoleon.. Camera: The foreground is occupied by Gurts spears/shields, General and Napoleon in the middle, in the back are rows of guards and walls; medium shot with a short zoom.. Dialogue: VoiceOver: Paodl, General Gilet, he is on guard all the time.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S04B;"Шот S04B. Локация: Тронный зал. Персонажи: Желе, Леденец / Стража, Наполеон. Мизансцена: Военная вертикаль при троне. (часть 2/2). Действие: General шагом обходит линию Gurts, проверяет стойки и жёсткими жестами выравнивает строй рядом с Napoleon.. Камера: Передний план занимают копья/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.. Реплика: Царя охрану возглавляет или единцами управляет.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S04B. Location: Throne room. Characters: General Jelly, Candy Guard, Napoleon. Scene: Military vertical under the throne. (part 2/2). Action: The General walks around the Gurts line, checks the racks and, with harsh gestures, aligns the formation next to Napoleon.. Camera: The foreground is occupied by Gurts spears/shields, General and Napoleon in the middle, in the back are rows of guards and walls; medium shot with a short zoom.. Dialogue: The king's guard is headed or controlled by units.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S05A;"Шот S05A. Локация: Тронный зал. Персонажи: Блин. Мизансцена: Казначей в придворной иерархии. (часть 1/2). Действие: Blin перебирает свитки, пересчитывает записи на пальцах, останавливается, вздыхает и снова возвращается к спискам.. Камера: На переднем плане стол с реестрами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.. Реплика: VoiceOver: Блинка значей, развесил уши. Он по характеру капуша.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S05A. Location: Throne room. Characters: Blin. Scene: Treasurer in the court hierarchy. (part 1/2). Action: Blin goes through the scrolls, counts the entries on his fingers, stops, sighs and returns to the lists again.. Camera: In the foreground is a table with registers, in the middle Blin, in the background are court niches; static medium with emphasis on hands and documents.. Dialogue: VoiceOver: Blinka, my ears are wide open. He is a jerk by nature.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S05B;"Шот S05B. Локация: Тронный зал. Персонажи: Блин. Мизансцена: Казначей в придворной иерархии. (часть 2/2). Действие: Blin перебирает свитки, пересчитывает записи на пальцах, останавливается, вздыхает и снова возвращается к спискам.. Камера: На переднем плане стол с реестрами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.. Реплика: Как денег нет, так сразу нужен, а так работаю загружен.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S05B. Location: Throne room. Characters: Blin. Scene: Treasurer in the court hierarchy. (part 2/2). Action: Blin goes through the scrolls, counts the entries on his fingers, stops, sighs and returns to the lists again.. Camera: In the foreground is a table with registers, in the middle Blin, in the background are court niches; static medium with emphasis on hands and documents.. Dialogue: As there is no money, I need it right away, but I’m so busy working.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
