"Шот";"Описание (мизансцена)";"Персонажи";"Текст речи персонажей";"Анимация";"Локация";"Работа камеры";"Хрон (сек)";"Готовность"
"S01A";"Экспозиция: страна тортов над полями и облаками. (часть 1/2)";"VoiceOver, Crowd";"VoiceOver: Над золочеными полями, над голубыми небесами, Средь";"Камера парит над сахарными полями; Crowd движется маленькими группами по дорожкам, флажки и ленты мягко колышутся от ветра.";"Страна тортов (общий вид)";"На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.";;""
"S01B";"Экспозиция: страна тортов над полями и облаками. (часть 2/2)";"VoiceOver, Crowd";"птичьих стай и облаков, находятся страна тортов.";"Камера парит над сахарными полями; Crowd движется маленькими группами по дорожкам, флажки и ленты мягко колышутся от ветра.";"Страна тортов (общий вид)";"На переднем плане пролетают облака и карамельные кроны, в среднем плане раскрывается город, на дальнем фоне холмы и рассвет; широкий воздушный пролёт.";;""
"S02A";"Представление правителя и двора. (часть 1/2)";"Napoleon, Vatrushki";"VoiceOver: Отцарством этим правит он, царь всем тортом Наполеон.";"Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.";"Тронный зал";"Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.";;""
"S02B";"Представление правителя и двора. (часть 2/2)";"Napoleon, Vatrushki";"Вокруг него снуют в отружке, любимые его подружки.";"Napoleon неподвижно держит центр композиции, Vatrushki кружат вокруг трона мелкими шагами и поклонами, создавая ритуальный ритм двора.";"Тронный зал";"Передний план занимают детали трона и колонн, в среднем плане Napoleon и свита, на заднем плане глубина зала; общий кадр с плавным сближением до среднего.";;""
"S03A";"Свита развлекает царя. (часть 1/2)";"Donut, Cookie, Eclair, Napoleon";"VoiceOver: Вот рядом пончик и печенья поют ему для развлечения, Играф Экклер, его советник.";"Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.";"Тронный зал";"На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.";;""
"S03B";"Свита развлекает царя. (часть 2/2)";"Donut, Cookie, Eclair, Napoleon";"Он лучший друг и лучший сплетник.";"Donut и Cookie выступают синхронно, Eclair подсказывает из-за плеча, Napoleon наблюдает без улыбки и едва кивает в такт.";"Тронный зал";"На переднем плане микрофон/декор сцены, в среднем Donut и Cookie, на заднем Eclair и трон Napoleon; стабильный средний с лёгким боковым паном.";;""
"S04A";"Военная вертикаль при троне. (часть 1/2)";"General, Gurts, Napoleon";"VoiceOver: Паодль, генерал жиле, всё время он на стороже.";"General шагом обходит линию Gurts, проверяет стойки и жёсткими жестами выравнивает строй рядом с Napoleon.";"Тронный зал";"Передний план занимают копья/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.";;""
"S04B";"Военная вертикаль при троне. (часть 2/2)";"General, Gurts, Napoleon";"Царя охрану возглавляет или единцами управляет.";"General шагом обходит линию Gurts, проверяет стойки и жёсткими жестами выравнивает строй рядом с Napoleon.";"Тронный зал";"Передний план занимают копья/щитки Gurts, в среднем General и Napoleon, на заднем ряды охраны и стены; средний кадр с коротким наездом.";;""
"S05A";"Казначей в придворной иерархии. (часть 1/2)";"Blin";"VoiceOver: Блинка значей, развесил уши. Он по характеру капуша.";"Blin перебирает свитки, пересчитывает записи на пальцах, останавливается, вздыхает и снова возвращается к спискам.";"Тронный зал";"На переднем плане стол с реестрами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.";;""
"S05B";"Казначей в придворной иерархии. (часть 2/2)";"Blin";"Как денег нет, так сразу нужен, а так работаю загружен.";"Blin перебирает свитки, пересчитывает записи на пальцах, останавливается, вздыхает и снова возвращается к спискам.";"Тронный зал";"На переднем плане стол с реестрами, в среднем Blin, на заднем придворные ниши; статичный средний с акцентом на руки и документы.";;""
